,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,5121000000.0,0.0,0,170000000.0,63000000.0,74000000.0,626000000.0,-368000000.0,431000000.0,4242000000.0,-960000000.0,-2858000000.0,3011000000.0,4754000000.0,4754000000.0,0,2171000000.0,2171000000.0,0,0.0,0.0,0,732000000.0,0,4974000000.0,0.0,4223000000.0,PG,Consumer Non-Durables,1.66,1.65,0.01,0.6061,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,4643000000.0,0.0,0,1261000000.0,1421000000.0,77000000.0,1091000000.0,1012000000.0,409000000.0,4126000000.0,-1006000000.0,-3428000000.0,882000000.0,2750000000.0,2750000000.0,0,2182000000.0,2182000000.0,0,0.0,0.0,0,-1976000000.0,0,209000000.0,0.0,4112000000.0,PG,Consumer Non-Durables,1.61,1.5909,0.0191,1.2006,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,4121000000.0,4176000000.0,0,342000000.0,-352000000.0,2494000000.0,714000000.0,-262000000.0,-90000000.0,2908000000.0,-791000000.0,-3085000000.0,48000000.0,3000000000.0,3000000000.0,0,2197000000.0,2197000000.0,0,0.0,0.0,0,-2663000000.0,0,245000000.0,0.0,2906000000.0,PG,Consumer Non-Durables,1.13,1.0852,0.0448,4.1283,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,4087000000.0,146000000.0,0,737000000.0,324000000.0,78000000.0,656000000.0,142000000.0,182000000.0,3249000000.0,-665000000.0,-5275000000.0,37000000.0,3001000000.0,3001000000.0,0,2011000000.0,2011000000.0,0,0.0,0.0,0,435000000.0,0,3684000000.0,0.0,3269000000.0,PG,Consumer Non-Durables,1.26,1.1876,0.0724,6.0963,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,5424000000.0,86000000.0,0,-130000000.0,-283000000.0,79000000.0,567000000.0,-363000000.0,80000000.0,3887000000.0,-549000000.0,-6441000000.0,150000000.0,3008000000.0,3008000000.0,0,2025000000.0,2025000000.0,0,0.0,0.0,0,421000000.0,0,4308000000.0,0.0,3854000000.0,PG,Consumer Non-Durables,1.64,1.5074,0.1326,8.7966,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,4739000000.0,191000000.0,0,442000000.0,962000000.0,84000000.0,850000000.0,825000000.0,137000000.0,4308000000.0,-829000000.0,-6730000000.0,-3568000000.0,2000000000.0,2000000000.0,0,2030000000.0,2030000000.0,0,0.0,0.0,0,-957000000.0,0,-2820000000.0,0.0,4277000000.0,PG,Consumer Non-Durables,1.63,1.4188,0.2112,14.8858,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,4806000000.0,3745000000.0,0,1185000000.0,-395000000.0,2739000000.0,658000000.0,-499000000.0,104000000.0,2786000000.0,-659000000.0,-3399000000.0,-675000000.0,0.0,0.0,0,2028000000.0,2028000000.0,0,0.0,0.0,0,465000000.0,0,6267000000.0,0.0,2800000000.0,PG,Consumer Non-Durables,1.16,1.0141,0.1459,14.3871,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,4064000000.0,60000000.0,0,-220000000.0,-392000000.0,87000000.0,731000000.0,-392000000.0,0.0,2957000000.0,-725000000.0,5945000000.0,3088000000.0,901000000.0,901000000.0,0,1906000000.0,1906000000.0,0,0.0,0.0,0,785000000.0,0,3682000000.0,0.0,2917000000.0,PG,Consumer Non-Durables,1.17,1.13,0.04,3.5398,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,4364000000.0,74000000.0,0,-193000000.0,-20000000.0,91000000.0,605000000.0,-4000000.0,-16000000.0,3743000000.0,-650000000.0,-6795000000.0,-7000000.0,3504000000.0,3504000000.0,0,1923000000.0,1923000000.0,0,0.0,0.0,0,319000000.0,0,3988000000.0,0.0,3717000000.0,PG,Consumer Non-Durables,1.42,1.3708,0.0492,3.5891,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,4169000000.0,156000000.0,0,1151000000.0,810000000.0,96000000.0,1079000000.0,261000000.0,549000000.0,3617000000.0,5079000000.0,-4118000000.0,-61000000.0,3000000000.0,3000000000.0,0,1932000000.0,1932000000.0,0,0.0,0.0,0,-1995000000.0,0,5065000000.0,-65000000.0,3593000000.0,PG,Consumer Non-Durables,1.37,1.2417,0.1283,10.3326,2.5,95.5,244.98,0.07546424338206248
