,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,46966000000.0,531000000.0,0,24511000000.0,17986000000.0,2697000000.0,2803000000.0,13746000000.0,-681000000.0,34630000000.0,-16106000000.0,-28159000000.0,-2000000000.0,20478000000.0,20478000000.0,0,3732000000.0,3732000000.0,0,0.0,0.0,0,-20478000000.0,0,2701000000.0,0.0,34630000000.0,AAPL,Electronic Technology,2.1,1.89,0.21,11.1111,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,20200000000.0,2217000000.0,0,19386000000.0,21176000000.0,2989000000.0,3223000000.0,17604000000.0,1429000000.0,20551000000.0,835000000.0,-20382000000.0,-4000000000.0,19748000000.0,19748000000.0,0,3640000000.0,3640000000.0,0,544000000.0,6470000000.0,0,-19204000000.0,0,653000000.0,0.0,20551000000.0,AAPL,Electronic Technology,1.24,1.238,0.002,0.1616,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,21094000000.0,543000000.0,0,-2275000000.0,2422000000.0,2832000000.0,2093000000.0,869000000.0,-13000000.0,21744000000.0,3572000000.0,-29396000000.0,6000000000.0,22900000000.0,22900000000.0,0,3767000000.0,3767000000.0,0,0.0,0.0,0,-22900000000.0,0,21744000000.0,0.0,21744000000.0,AAPL,Electronic Technology,1.3,1.0143,0.2857,28.1672,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,23981000000.0,708000000.0,0,-28280000000.0,-24501000000.0,2797000000.0,2269000000.0,-25584000000.0,276000000.0,23630000000.0,-10368000000.0,-11326000000.0,0.0,18548000000.0,18548000000.0,0,3447000000.0,3447000000.0,0,561000000.0,13923000000.0,0,-17987000000.0,0,23630000000.0,0.0,23630000000.0,AAPL,Electronic Technology,1.4,0.9888,0.4112,41.5858,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,38763000000.0,619000000.0,0,30970000000.0,25615000000.0,2666000000.0,3500000000.0,21139000000.0,950000000.0,28755000000.0,-8584000000.0,-32249000000.0,44000000.0,24775000000.0,24775000000.0,0,3613000000.0,3613000000.0,0,0.0,0.0,0,-24775000000.0,0,-2070000000.0,0.0,28755000000.0,AAPL,Electronic Technology,1.68,1.4158,0.2642,18.6608,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,20576000000.0,1127000000.0,0,12206000000.0,8329000000.0,2702000000.0,1784000000.0,5364000000.0,137000000.0,24689000000.0,5531000000.0,-21357000000.0,-7153000000.0,17187000000.0,17187000000.0,0,3511000000.0,3511000000.0,0,450000000.0,5456000000.0,0,-16737000000.0,0,24689000000.0,0.0,12673000000.0,AAPL,Electronic Technology,0.73,0.6987,0.0313,4.4797,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,16271000000.0,388000000.0,0,-474000000.0,-44000000.0,2752000000.0,1565000000.0,1373000000.0,689000000.0,11253000000.0,-5165000000.0,-19116000000.0,-365000000.0,15891000000.0,15891000000.0,0,3656000000.0,3656000000.0,0,0.0,8425000000.0,0,-15891000000.0,0,10865000000.0,0.0,11253000000.0,AAPL,Electronic Technology,0.65,0.51,0.14,27.451,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,13311000000.0,353000000.0,0,-10207000000.0,-8205000000.0,2786000000.0,1853000000.0,-9290000000.0,-727000000.0,11249000000.0,9013000000.0,-20940000000.0,7550000000.0,18574000000.0,18574000000.0,0,3375000000.0,3375000000.0,0,428000000.0,0.0,0,-18146000000.0,0,10896000000.0,0.0,11249000000.0,AAPL,Electronic Technology,0.64,0.56,0.08,14.2857,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,30516000000.0,1120000000.0,0,5410000000.0,1165000000.0,2816000000.0,2107000000.0,-5917000000.0,28000000.0,22236000000.0,-13668000000.0,-25407000000.0,-1958000000.0,20706000000.0,20706000000.0,0,3539000000.0,3539000000.0,0,2000000.0,2210000000.0,0,-20704000000.0,0,-8559000000.0,0.0,22236000000.0,AAPL,Electronic Technology,1.25,1.14,0.11,9.6491,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,19910000000.0,860000000.0,0,22085000000.0,19925000000.0,3179000000.0,2777000000.0,19320000000.0,785000000.0,24313000000.0,-798000000.0,-21039000000.0,-7902000000.0,17444000000.0,17444000000.0,0,3479000000.0,3479000000.0,0,390000000.0,6963000000.0,0,-17054000000.0,0,24313000000.0,0.0,13686000000.0,AAPL,Electronic Technology,0.76,0.71,0.05,7.0423,2.5,95.5,244.98,0.07546424338206248
10,2019-06-30,USD,11636000000.0,801000000.0,0,-5496000000.0,-2698000000.0,2933000000.0,2000000000.0,214000000.0,-1502000000.0,10044000000.0,27502000000.0,-26804000000.0,-3980000000.0,16955000000.0,16955000000.0,0,3629000000.0,3629000000.0,0,1000000.0,0.0,0,-16954000000.0,0,10044000000.0,0.0,10044000000.0,AAPL,Electronic Technology,0.55,0.53,0.02,3.7736,2.6,98.4,227.79,0.08188078841130353
11,2019-03-31,USD,11155000000.0,926000000.0,0,-15536000000.0,-10914000000.0,3040000000.0,2363000000.0,-10675000000.0,-70000000.0,11561000000.0,13348000000.0,-29457000000.0,-84000000.0,23702000000.0,23702000000.0,0,3443000000.0,3443000000.0,0,390000000.0,0.0,0,-23312000000.0,0,11561000000.0,0.0,11561000000.0,AAPL,Electronic Technology,0.62,0.59,0.03,5.0847,2.5,97.2,210.55,0.23896669412733917
12,2018-12-31,USD,26690000000.0,836000000.0,0,-8301000000.0,-10073000000.0,3395000000.0,3355000000.0,-12035000000.0,1076000000.0,19965000000.0,5844000000.0,-13676000000.0,12000000.0,8796000000.0,8796000000.0,0,3568000000.0,3568000000.0,0,0.0,0.0,0,-8796000000.0,0,18858000000.0,0.0,19965000000.0,AAPL,Electronic Technology,1.05,1.04,0.01,0.9615,2.7,91.2,169.94,-0.13025231588105834
13,2018-09-30,USD,19523000000.0,902000000.0,0,21898000000.0,21040000000.0,2754000000.0,3041000000.0,22624000000.0,-1942000000.0,24084000000.0,-3001000000.0,-22580000000.0,-54000000.0,19104000000.0,19104000000.0,0,3530000000.0,3530000000.0,0,341000000.0,0.0,0,-18763000000.0,0,-6058000000.0,0.0,14125000000.0,AAPL,Electronic Technology,0.73,0.7,0.03,4.2857,2.9,98.6,195.39,-0.04168914610819563
14,2018-06-30,USD,14488000000.0,764000000.0,0,-649000000.0,1265000000.0,2665000000.0,3267000000.0,3946000000.0,-1693000000.0,11519000000.0,3947000000.0,-31523000000.0,-22000000.0,20783000000.0,20783000000.0,0,3653000000.0,3653000000.0,0,1000000.0,0.0,0,-20782000000.0,0,-13088000000.0,0.0,11519000000.0,AAPL,Electronic Technology,0.585,0.545,0.04,7.3394,2.9,97.9,203.89,0.06715168010049188
15,2018-03-31,USD,15130000000.0,733000000.0,0,-26512000000.0,-24371000000.0,2739000000.0,4041000000.0,-28468000000.0,3241000000.0,13822000000.0,28710000000.0,-26272000000.0,-2000000.0,22756000000.0,22756000000.0,0,3190000000.0,3190000000.0,0,0.0,0.0,0,-22429000000.0,0,17568000000.0,0.0,13822000000.0,AAPL,Electronic Technology,0.6825,0.6725,0.01,1.487,2.7,98.8,191.06,0.1278630460448642
16,2017-12-31,USD,28293000000.0,623000000.0,0,52928000000.0,14993000000.0,2745000000.0,2964000000.0,15230000000.0,-434000000.0,20065000000.0,-13590000000.0,-7501000000.0,4000000.0,10095000000.0,10095000000.0,0,3339000000.0,3232000000.0,0,0.0,6969000000.0,0,-10095000000.0,0,7202000000.0,0.0,20065000000.0,AAPL,Electronic Technology,0.9725,0.965,0.0075,0.7772,2.7,95.7,169.4,0.08374384236453203
17,2017-09-30,USD,15749000000.0,636000000.0,0,16410000000.0,16838000000.0,2484000000.0,4209000000.0,13040000000.0,1709000000.0,19931000000.0,-9942000000.0,-4089000000.0,-28000000.0,7795000000.0,7795000000.0,0,3270000000.0,3252000000.0,0,281000000.0,6937000000.0,0,-7514000000.0,0,1718000000.0,0.0,10714000000.0,AAPL,Electronic Technology,0.5175,0.4675,0.05,10.6952,2.4,100.7,156.31,0.07068977327214188
18,2017-06-30,USD,8672000000.0,449000000.0,0,-1030000000.0,4571000000.0,2354000000.0,2277000000.0,2002000000.0,236000000.0,17488000000.0,-3180000000.0,-2078000000.0,3974000000.0,7093000000.0,7093000000.0,0,3365000000.0,3281000000.0,0,1000000.0,10750000000.0,0,-7092000000.0,0,3414000000.0,0.0,8717000000.0,AAPL,Electronic Technology,0.4175,0.3925,0.025,6.3694,2.6,93.4,145.99,0.11664372036102177
60,2021-12-31,USD,5797000000.0,274000000.0,0,620000000.0,3641000000.0,3074000000.0,7154000000.0,1056000000.0,1127000000.0,4623000000.0,-5034000000.0,-3806000000.0,0.0,0.0,0.0,0,1413000000.0,1413000000.0,0,0.0,0.0,0,4000000.0,0,-3043000000.0,0.0,4623000000.0,INTC,Electronic Technology,1.09,0.91,0.18,19.7802,4.9,67.2,292.79,0.15535474706021635
