,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2020-12-31,USD,8343000000.0,0.0,0,5423000000.0,-12000000.0,1940000000.0,1323000000.0,-1214000000.0,-519000000.0,1738000000.0,-7903000000.0,-5644000000.0,-2297000000.0,321000000.0,321000000.0,0,2658000000.0,2658000000.0,0,0.0,0.0,0,-321000000.0,0,-5069000000.0,0.0,1738000000.0,JNJ,Health Technology,1.86,1.8279,0.0321,1.7561,3.0,79.0,328.73,-0.08838047698280649
1,2020-09-30,USD,8383000000.0,0.0,0,3610000000.0,1002000000.0,1818000000.0,737000000.0,-80000000.0,147000000.0,3554000000.0,-4819000000.0,4196000000.0,325000000.0,483000000.0,483000000.0,0,2659000000.0,2659000000.0,0,0.0,7430000000.0,0,-483000000.0,0,3554000000.0,31000000.0,3554000000.0,JNJ,Health Technology,2.2,1.9815,0.2185,11.027,2.6,81.8,360.6,0.09445186354255197
2,2020-06-30,USD,3452000000.0,0.0,0,-296000000.0,1505000000.0,1726000000.0,662000000.0,-292000000.0,478000000.0,3626000000.0,-7522000000.0,-357000000.0,2708000000.0,706000000.0,706000000.0,0,2659000000.0,2659000000.0,0,0.0,1000000.0,0,-706000000.0,0,3626000000.0,71000000.0,3626000000.0,JNJ,Health Technology,1.67,1.5112,0.1588,10.5082,3.0,72.5,329.48,0.3445419302183228
3,2020-03-31,USD,3358000000.0,0.0,0,-2852000000.0,700000000.0,1747000000.0,625000000.0,812000000.0,159000000.0,5796000000.0,-581000000.0,-4315000000.0,-8000000.0,1711000000.0,1711000000.0,0,2505000000.0,2505000000.0,0,0.0,0.0,0,-1711000000.0,0,-1775000000.0,-237000000.0,5796000000.0,JNJ,Health Technology,2.3,1.996,0.304,15.2305,2.1,71.8,245.05,-0.1025453213697125
4,2019-12-31,USD,6398000000.0,0.0,0,1169000000.0,450000000.0,1816000000.0,1260000000.0,-376000000.0,-147000000.0,4218000000.0,-1344000000.0,-4072000000.0,-122000000.0,426000000.0,426000000.0,0,2500000000.0,2500000000.0,0,0.0,2000000.0,0,-426000000.0,0,4218000000.0,0.0,4010000000.0,JNJ,Health Technology,1.88,1.8663,0.0137,0.7341,2.5,99.8,273.05,0.1145807821046616
5,2019-09-30,USD,7527000000.0,0.0,0,4815000000.0,-451000000.0,1727000000.0,745000000.0,329000000.0,1000000.0,1753000000.0,-1645000000.0,-3893000000.0,58000000.0,1628000000.0,1628000000.0,0,2499000000.0,2499000000.0,0,0.0,0.0,0,-1628000000.0,0,1753000000.0,-116000000.0,1753000000.0,JNJ,Health Technology,2.12,2.0149,0.1051,5.2161,2.5,95.5,244.98,0.07546424338206248
6,2019-06-30,USD,5948000000.0,0.0,0,1502000000.0,921000000.0,1705000000.0,837000000.0,493000000.0,54000000.0,5607000000.0,-1788000000.0,-4534000000.0,6000000.0,2486000000.0,2486000000.0,0,2522000000.0,2522000000.0,0,0.0,1000000.0,0,-2486000000.0,0,-358000000.0,16000000.0,5607000000.0,JNJ,Health Technology,2.58,2.4426,0.1374,5.6252,2.6,98.4,227.79,0.08188078841130353
7,2019-03-31,USD,3543000000.0,0.0,0,-2001000000.0,700000000.0,1761000000.0,656000000.0,-157000000.0,369000000.0,3749000000.0,-1417000000.0,-5516000000.0,-3000000.0,2206000000.0,2206000000.0,0,2396000000.0,2396000000.0,0,0.0,0.0,0,-2206000000.0,0,-3373000000.0,17000000.0,3749000000.0,JNJ,Health Technology,2.1,2.0434,0.0566,2.7699,2.5,97.2,210.55,0.23896669412733917
8,2018-12-31,USD,6244000000.0,0.0,0,2533000000.0,-617000000.0,1735000000.0,1318000000.0,145000000.0,-133000000.0,1222000000.0,2228000000.0,-6389000000.0,-74000000.0,3808000000.0,3808000000.0,0,2411000000.0,2411000000.0,0,0.0,-1000000.0,0,-3808000000.0,0,2051000000.0,-32000000.0,3042000000.0,JNJ,Health Technology,1.97,1.9526,0.0174,0.8911,2.7,91.2,169.94,-0.13025231588105834
9,2018-09-30,USD,6272000000.0,0.0,0,-211000000.0,974000000.0,1731000000.0,819000000.0,51000000.0,286000000.0,3934000000.0,-4269000000.0,-3477000000.0,81000000.0,471000000.0,471000000.0,0,2415000000.0,2415000000.0,0,0.0,3000000.0,0,-471000000.0,0,-1513000000.0,-39000000.0,3934000000.0,JNJ,Health Technology,2.05,2.0318,0.0182,0.8958,2.9,98.6,195.39,-0.04168914610819563
