,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,11248000000.0,2279000000.0,0,316000000.0,-35000000.0,1135000000.0,839000000.0,14000000.0,52000000.0,1056000000.0,-876000000.0,-4217000000.0,-1698000000.0,1361000000.0,1361000000.0,0,541000000.0,541000000.0,0,11000000.0,23000000.0,0,-1350000000.0,0,6155000000.0,0.0,1026000000.0,LIN,Process Industries,2.77,2.67,0.1,3.7453,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,2556000000.0,47000000.0,0,92000000.0,191000000.0,1163000000.0,741000000.0,151000000.0,35000000.0,1010000000.0,-671000000.0,-256000000.0,-712000000.0,1169000000.0,1169000000.0,0,546000000.0,546000000.0,0,7000000.0,2209000000.0,0,-1162000000.0,0,2173000000.0,0.0,979000000.0,LIN,Process Industries,2.73,2.6571,0.0729,2.7436,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,1827000000.0,53000000.0,0,-30000000.0,148000000.0,1171000000.0,744000000.0,210000000.0,-18000000.0,877000000.0,-709000000.0,-2145000000.0,377000000.0,1214000000.0,1214000000.0,0,549000000.0,549000000.0,0,15000000.0,17000000.0,0,-1199000000.0,0,2048000000.0,0.0,841000000.0,LIN,Process Industries,2.7,2.5334,0.1666,6.5761,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,2109000000.0,71000000.0,0,69000000.0,302000000.0,1166000000.0,762000000.0,178000000.0,60000000.0,1018000000.0,-751000000.0,-970000000.0,704000000.0,868000000.0,868000000.0,0,553000000.0,553000000.0,0,17000000.0,34000000.0,0,-851000000.0,0,388000000.0,0.0,980000000.0,LIN,Process Industries,2.49,2.2563,0.2337,10.3577,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,9320000000.0,1780000000.0,0,121000000.0,-341000000.0,1192000000.0,1027000000.0,-95000000.0,-119000000.0,804000000.0,-1007000000.0,-2967000000.0,-956000000.0,427000000.0,427000000.0,0,505000000.0,505000000.0,0,6000000.0,33000000.0,0,-421000000.0,0,62000000.0,0.0,770000000.0,LIN,Process Industries,2.3,2.1531,0.1469,6.8227,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,1884000000.0,82000000.0,0,15000000.0,-72000000.0,1168000000.0,787000000.0,-42000000.0,19000000.0,731000000.0,-732000000.0,-933000000.0,209000000.0,202000000.0,202000000.0,0,506000000.0,506000000.0,0,16000000.0,1107000000.0,0,-186000000.0,0,1899000000.0,0.0,700000000.0,LIN,Process Industries,2.15,1.9496,0.2004,10.279,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,1764000000.0,74000000.0,0,156000000.0,-15000000.0,1124000000.0,783000000.0,9000000.0,20000000.0,483000000.0,-634000000.0,-204000000.0,-1204000000.0,0.0,0.0,0,506000000.0,506000000.0,0,12000000.0,1640000000.0,0,12000000.0,0,1607000000.0,0.0,458000000.0,LIN,Process Industries,1.9,1.647,0.253,15.3613,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,1347000000.0,81000000.0,0,-183000000.0,263000000.0,1142000000.0,803000000.0,109000000.0,62000000.0,608000000.0,-613000000.0,759000000.0,3149000000.0,1828000000.0,1828000000.0,0,511000000.0,511000000.0,0,13000000.0,16000000.0,0,-1815000000.0,0,2790000000.0,0.0,573000000.0,LIN,Process Industries,1.89,1.8404,0.0496,2.6951,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,655000000.0,1814000000.0,0,237000000.0,-83000000.0,1162000000.0,1015000000.0,-110000000.0,20000000.0,538000000.0,-944000000.0,-700000000.0,455000000.0,724000000.0,724000000.0,0,469000000.0,469000000.0,0,12000000.0,44000000.0,0,-712000000.0,0,655000000.0,0.0,511000000.0,LIN,Process Industries,1.89,1.8353,0.0547,2.9804,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,1750000000.0,82000000.0,0,-164000000.0,-181000000.0,1095000000.0,959000000.0,-158000000.0,-12000000.0,737000000.0,-709000000.0,-1652000000.0,-220000000.0,684000000.0,684000000.0,0,471000000.0,471000000.0,0,5000000.0,10000000.0,0,-679000000.0,0,1750000000.0,0.0,735000000.0,LIN,Process Industries,1.94,1.7697,0.1703,9.6231,2.5,95.5,244.98,0.07546424338206248
