,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,2663000000.0,898000000.0,0,772000000.0,-290000000.0,205000000.0,281000000.0,-411000000.0,169000000.0,1442000000.0,286000000.0,-3059000000.0,1000000.0,881000000.0,881000000.0,0,676000000.0,676000000.0,0,0.0,8000000.0,0,-823000000.0,0,-110000000.0,0.0,1428000000.0,HON,Producer Manufacturing,2.09,2.08,0.01,0.4808,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,1119000000.0,86000000.0,0,339000000.0,763000000.0,308000000.0,208000000.0,292000000.0,245000000.0,1273000000.0,-104000000.0,-1318000000.0,0.0,650000000.0,650000000.0,0,646000000.0,646000000.0,0,0.0,2482000000.0,0,-593000000.0,0,1273000000.0,0.0,1257000000.0,HON,Producer Manufacturing,2.02,1.9967,0.0233,1.1669,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,1278000000.0,110000000.0,0,448000000.0,415000000.0,284000000.0,185000000.0,270000000.0,113000000.0,1447000000.0,61000000.0,-1660000000.0,1000000.0,1027000000.0,1027000000.0,0,664000000.0,664000000.0,0,0.0,4000000.0,0,-980000000.0,0,1447000000.0,0.0,1430000000.0,HON,Producer Manufacturing,2.02,1.9449,0.0751,3.8614,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,978000000.0,119000000.0,0,-302000000.0,81000000.0,341000000.0,221000000.0,-143000000.0,158000000.0,1448000000.0,-1304000000.0,-2217000000.0,2000000.0,822000000.0,822000000.0,0,640000000.0,640000000.0,0,0.0,23000000.0,0,-755000000.0,0,-2543000000.0,0.0,1427000000.0,HON,Producer Manufacturing,1.92,1.8014,0.1186,6.5838,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,2782000000.0,958000000.0,0,863000000.0,-375000000.0,255000000.0,291000000.0,-54000000.0,-217000000.0,1379000000.0,-577000000.0,-2053000000.0,9000000.0,1565000000.0,1565000000.0,0,671000000.0,671000000.0,0,0.0,20000000.0,0,-1335000000.0,0,2924000000.0,0.0,1359000000.0,HON,Producer Manufacturing,2.07,2.0,0.07,3.5,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,1007000000.0,241000000.0,0,97000000.0,-376000000.0,255000000.0,249000000.0,161000000.0,-47000000.0,781000000.0,-52000000.0,-769000000.0,-6000000.0,164000000.0,164000000.0,0,636000000.0,636000000.0,0,0.0,3004000000.0,0,-98000000.0,0,781000000.0,0.0,758000000.0,HON,Producer Manufacturing,1.56,1.4865,0.0735,4.9445,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,1480000000.0,93000000.0,0,71000000.0,-507000000.0,250000000.0,227000000.0,-735000000.0,168000000.0,1099000000.0,-708000000.0,5187000000.0,-11000000.0,62000000.0,62000000.0,0,650000000.0,650000000.0,0,0.0,5974000000.0,0,-31000000.0,0,1099000000.0,0.0,1081000000.0,HON,Producer Manufacturing,1.26,1.2395,0.0205,1.6539,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,939000000.0,102000000.0,0,-461000000.0,-44000000.0,243000000.0,139000000.0,-41000000.0,163000000.0,1606000000.0,350000000.0,-2446000000.0,82000000.0,1923000000.0,1923000000.0,0,635000000.0,635000000.0,0,0.0,1127000000.0,0,-1857000000.0,0,-1157000000.0,0.0,1581000000.0,HON,Producer Manufacturing,2.21,1.9446,0.2654,13.6481,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,2614000000.0,787000000.0,0,785000000.0,97000000.0,269000000.0,335000000.0,-89000000.0,-176000000.0,1590000000.0,-411000000.0,-4109000000.0,1000000.0,750000000.0,750000000.0,0,644000000.0,644000000.0,0,0.0,1000000.0,0,-677000000.0,0,3168000000.0,0.0,1562000000.0,HON,Producer Manufacturing,2.06,2.0422,0.0178,0.8716,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,1471000000.0,73000000.0,0,-53000000.0,8000000.0,15000000.0,192000000.0,176000000.0,3000000.0,1648000000.0,221000000.0,1072000000.0,0.0,1000000000.0,1000000000.0,0,595000000.0,595000000.0,0,0.0,2696000000.0,0,-953000000.0,0,1561000000.0,0.0,1624000000.0,HON,Producer Manufacturing,2.08,2.0101,0.0699,3.4774,2.5,95.5,244.98,0.07546424338206248
10,2019-06-30,USD,1678000000.0,63000000.0,0,108000000.0,174000000.0,295000000.0,171000000.0,100000000.0,52000000.0,1556000000.0,266000000.0,-2328000000.0,0.0,1900000000.0,1900000000.0,0,597000000.0,597000000.0,0,0.0,9000000.0,0,-1667000000.0,0,1556000000.0,0.0,1541000000.0,HON,Producer Manufacturing,2.1,2.0833,0.0167,0.8016,2.6,98.4,227.79,0.08188078841130353
11,2019-03-31,USD,1134000000.0,74000000.0,0,-277000000.0,240000000.0,261000000.0,141000000.0,-198000000.0,221000000.0,1436000000.0,-609000000.0,-1235000000.0,-1000000.0,750000000.0,750000000.0,0,606000000.0,606000000.0,0,0.0,20000000.0,0,-605000000.0,0,-662000000.0,48000000.0,1416000000.0,HON,Producer Manufacturing,1.92,1.8366,0.0834,4.541,2.5,97.2,210.55,0.23896669412733917
