,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,14480000000.0,548000000.0,0,-4327000000.0,5227000000.0,710000000.0,5865000000.0,5543000000.0,-394000000.0,18765000000.0,-1161000000.0,-11986000000.0,0.0,7433000000.0,7433000000.0,0,4652000000.0,4652000000.0,0,291000000.0,0.0,0,-7142000000.0,0,1439000000.0,106000000.0,18765000000.0,MSFT,Technology Services,2.48,2.31,0.17,7.3593,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,24540000000.0,670000000.0,0,-4596000000.0,-10051000000.0,665000000.0,5810000000.0,-10486000000.0,777000000.0,20505000000.0,-3250000000.0,-16276000000.0,0.0,7684000000.0,7684000000.0,0,4206000000.0,4206000000.0,0,612000000.0,0.0,0,-7072000000.0,0,4941000000.0,-73000000.0,20505000000.0,MSFT,Technology Services,2.27,2.081,0.189,9.0822,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,22710000000.0,646000000.0,0,16880000000.0,15093000000.0,9955000000.0,6452000000.0,11606000000.0,388000000.0,16458000000.0,-10853000000.0,-11371000000.0,0.0,7177000000.0,7177000000.0,0,4214000000.0,4214000000.0,0,450000000.0,0.0,0,-6727000000.0,0,522000000.0,36000000.0,16458000000.0,MSFT,Technology Services,2.17,1.9252,0.2448,12.7156,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,22179000000.0,633000000.0,0,3146000000.0,446000000.0,616000000.0,5089000000.0,-290000000.0,329000000.0,15457000000.0,-9684000000.0,-13192000000.0,0.0,6930000000.0,6930000000.0,0,4221000000.0,4221000000.0,0,396000000.0,0.0,0,-6534000000.0,0,-730000000.0,-33000000.0,15457000000.0,MSFT,Technology Services,1.95,1.7781,0.1719,9.6676,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,12516000000.0,576000000.0,0,-2914000000.0,3989000000.0,627000000.0,4174000000.0,4008000000.0,-788000000.0,15463000000.0,-1669000000.0,-13634000000.0,0.0,6535000000.0,6535000000.0,0,4230000000.0,4230000000.0,0,302000000.0,0.0,0,-6233000000.0,0,-2773000000.0,14000000.0,15463000000.0,MSFT,Technology Services,2.03,1.6373,0.3927,23.9846,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,19335000000.0,583000000.0,0,-6439000000.0,-7919000000.0,589000000.0,4907000000.0,-8843000000.0,808000000.0,13893000000.0,-5371000000.0,-10289000000.0,0.0,6743000000.0,6743000000.0,0,3856000000.0,3856000000.0,0,545000000.0,0.0,0,-6198000000.0,0,3629000000.0,-46000000.0,13893000000.0,MSFT,Technology Services,1.82,1.546,0.274,17.7232,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,18673000000.0,479000000.0,0,14318000000.0,12068000000.0,11288000000.0,4744000000.0,9355000000.0,251000000.0,13407000000.0,-4462000000.0,-12262000000.0,0.0,5791000000.0,5791000000.0,0,3865000000.0,3865000000.0,0,340000000.0,0.0,0,-5451000000.0,0,13407000000.0,-83000000.0,11202000000.0,MSFT,Technology Services,1.46,1.372,0.088,6.414,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,17504000000.0,592000000.0,0,1160000000.0,-1290000000.0,491000000.0,3767000000.0,-891000000.0,-181000000.0,10752000000.0,51000000.0,-14645000000.0,0.0,7059000000.0,7059000000.0,0,3876000000.0,3876000000.0,0,342000000.0,0.0,0,-6717000000.0,0,2846000000.0,-64000000.0,10752000000.0,MSFT,Technology Services,1.4,1.2688,0.1312,10.3405,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,10680000000.0,563000000.0,0,-1500000000.0,3756000000.0,574000000.0,3545000000.0,4203000000.0,-799000000.0,11649000000.0,-6036000000.0,-8915000000.0,0.0,5206000000.0,5206000000.0,0,3886000000.0,3886000000.0,0,234000000.0,0.0,0,-4972000000.0,0,-4253000000.0,18000000.0,11649000000.0,MSFT,Technology Services,1.51,1.325,0.185,13.9623,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,13818000000.0,531000000.0,0,-9685000000.0,-8758000000.0,559000000.0,3385000000.0,-10090000000.0,561000000.0,10678000000.0,-1776000000.0,-10209000000.0,0.0,4912000000.0,4912000000.0,0,3510000000.0,3510000000.0,0,427000000.0,0.0,0,-4485000000.0,0,1761000000.0,-72000000.0,10678000000.0,MSFT,Technology Services,1.38,1.2435,0.1365,10.9771,2.5,95.5,244.98,0.07546424338206248
