,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,1317000000.0,0.0,0,-81000000.0,186000000.0,1052000000.0,2624000000.0,0.0,0.0,953000000.0,-1746000000.0,741000000.0,-2211000000.0,0.0,0.0,0,757000000.0,757000000.0,0,7000000.0,7069000000.0,0,7000000.0,0,312000000.0,0.0,1204000000.0,NEE,Utilities,0.41,0.4,0.01,2.5,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,2741000000.0,0.0,0,832000000.0,727000000.0,1298000000.0,1764000000.0,0.0,0.0,304000000.0,-3684000000.0,517000000.0,3035000000.0,0.0,0.0,0,756000000.0,756000000.0,0,2000000.0,2255000000.0,0,2000000.0,0,304000000.0,0.0,447000000.0,NEE,Utilities,0.75,0.7155,0.0345,4.8218,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,2203000000.0,0.0,0,49000000.0,243000000.0,1041000000.0,1865000000.0,0.0,0.0,72000000.0,-3741000000.0,806000000.0,-1508000000.0,0.0,0.0,0,756000000.0,756000000.0,0,1000000.0,2743000000.0,0,1000000.0,0,72000000.0,0.0,256000000.0,NEE,Utilities,0.71,0.691,0.019,2.7496,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,1292000000.0,0.0,0,305000000.0,573000000.0,823000000.0,1577000000.0,0.0,0.0,1498000000.0,-4420000000.0,3743000000.0,258000000.0,0.0,0.0,0,755000000.0,755000000.0,0,4000000.0,4616000000.0,0,4000000.0,0,615000000.0,0.0,1666000000.0,NEE,Utilities,0.67,0.6126,0.0574,9.3699,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,1352000000.0,0.0,0,-453000000.0,-15000000.0,1023000000.0,2355000000.0,0.0,0.0,-190000000.0,-4493000000.0,2260000000.0,1551000000.0,0.0,0.0,0,686000000.0,686000000.0,0,0.0,506000000.0,0,0.0,0,-881000000.0,0.0,-5000000.0,NEE,Utilities,0.4,0.384,0.016,4.1667,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,2839000000.0,0.0,0,426000000.0,323000000.0,1338000000.0,1658000000.0,0.0,0.0,1123000000.0,-3021000000.0,1191000000.0,-351000000.0,0.0,0.0,0,686000000.0,686000000.0,0,0.0,3428000000.0,0,0.0,0,1123000000.0,0.0,1229000000.0,NEE,Utilities,0.665,0.646,0.019,2.9412,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,1898000000.0,0.0,0,281000000.0,445000000.0,1032000000.0,1786000000.0,0.0,0.0,1129000000.0,-3050000000.0,-1238000000.0,-2792000000.0,0.0,0.0,0,686000000.0,686000000.0,0,0.0,4116000000.0,0,0.0,0,1129000000.0,0.0,1275000000.0,NEE,Utilities,0.6525,0.6261,0.0264,4.2166,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,1894000000.0,0.0,0,-260000000.0,-86000000.0,922000000.0,1452000000.0,0.0,0.0,308000000.0,-3135000000.0,3961000000.0,685000000.0,0.0,0.0,0,685000000.0,685000000.0,0,0.0,4354000000.0,0,0.0,0,2720000000.0,0.0,421000000.0,NEE,Utilities,0.595,0.5605,0.0345,6.1552,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,1912000000.0,0.0,0,-21000000.0,-247000000.0,1041000000.0,1107000000.0,0.0,0.0,844000000.0,-3714000000.0,1350000000.0,160000000.0,0.0,0.0,0,611000000.0,611000000.0,0,6000000.0,2996000000.0,0,6000000.0,0,844000000.0,0.0,975000000.0,NEE,Utilities,0.36,0.3694,-0.0094,-2.5447,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,2962000000.0,0.0,0,372000000.0,117000000.0,1313000000.0,2118000000.0,0.0,0.0,798000000.0,-3572000000.0,471000000.0,-1991000000.0,0.0,0.0,0,600000000.0,600000000.0,0,1462000000.0,3369000000.0,0,1462000000.0,0,798000000.0,0.0,879000000.0,NEE,Utilities,0.5975,0.5719,0.0256,4.4763,2.5,95.5,244.98,0.07546424338206248
10,2019-06-30,USD,1684000000.0,0.0,0,494000000.0,440000000.0,1262000000.0,1352000000.0,0.0,0.0,1139000000.0,-1946000000.0,625000000.0,-2470000000.0,0.0,0.0,0,599000000.0,599000000.0,0,6000000.0,4786000000.0,0,6000000.0,0,1139000000.0,0.0,1234000000.0,NEE,Utilities,0.5875,0.5778,0.0097,1.6788,2.6,98.4,227.79,0.08188078841130353
11,2019-03-31,USD,1597000000.0,0.0,0,-498000000.0,-160000000.0,862000000.0,1335000000.0,0.0,0.0,606000000.0,-6945000000.0,1427000000.0,-498000000.0,0.0,0.0,0,598000000.0,598000000.0,0,20000000.0,2768000000.0,0,20000000.0,0,-3921000000.0,0.0,680000000.0,NEE,Utilities,0.55,0.5088,0.0412,8.0975,2.5,97.2,210.55,0.23896669412733917
12,2018-12-31,USD,1362000000.0,0.0,0,-27000000.0,41000000.0,1152000000.0,1578000000.0,0.0,0.0,314000000.0,-2389000000.0,5565000000.0,5324000000.0,0.0,0.0,0,531000000.0,531000000.0,0,4000000.0,371000000.0,0,4000000.0,0,314000000.0,0.0,422000000.0,NEE,Utilities,0.3725,0.384,-0.0115,-2.9948,2.7,91.2,169.94,-0.13025231588105834
13,2018-09-30,USD,2295000000.0,0.0,0,715000000.0,678000000.0,1180000000.0,1729000000.0,0.0,0.0,941000000.0,-3206000000.0,882000000.0,293000000.0,0.0,0.0,0,523000000.0,523000000.0,0,703000000.0,1153000000.0,0,703000000.0,0,962000000.0,0.0,1005000000.0,NEE,Utilities,0.545,0.5384,0.0066,1.2259,2.9,98.6,195.39,-0.04168914610819563
14,2018-06-30,USD,1645000000.0,0.0,0,168000000.0,347000000.0,891000000.0,1415000000.0,0.0,0.0,687000000.0,-1688000000.0,-123000000.0,-372000000.0,0.0,0.0,0,524000000.0,524000000.0,0,4000000.0,1071000000.0,0,4000000.0,0,722000000.0,0.0,781000000.0,NEE,Utilities,0.5275,0.5159,0.0116,2.2485,2.9,97.9,203.89,0.06715168010049188
15,2018-03-31,USD,1291000000.0,0.0,0,-610000000.0,-215000000.0,924000000.0,1288000000.0,0.0,0.0,3834000000.0,-3667000000.0,1310000000.0,1027000000.0,0.0,0.0,0,523000000.0,523000000.0,0,7000000.0,1804000000.0,0,7000000.0,0,-1066000000.0,0.0,4431000000.0,NEE,Utilities,0.485,0.4571,0.0279,6.1037,2.7,98.8,191.06,0.1278630460448642
16,2017-12-31,USD,1129000000.0,0.0,0,448000000.0,-434000000.0,-157000000.0,1536000000.0,0.0,0.0,2072000000.0,-2067000000.0,1126000000.0,-137000000.0,0.0,0.0,0,463000000.0,463000000.0,0,19000000.0,3158000000.0,0,567000000.0,0,2068000000.0,0.0,2158000000.0,NEE,Utilities,0.3125,0.3281,-0.0156,-4.7546,2.7,95.7,169.4,0.08374384236453203
17,2017-09-30,USD,2078000000.0,0.0,0,121000000.0,513000000.0,1138000000.0,1078000000.0,0.0,0.0,856000000.0,-1337000000.0,85000000.0,157000000.0,0.0,0.0,0,462000000.0,462000000.0,0,11000000.0,2425000000.0,0,11000000.0,0,739000000.0,0.0,846000000.0,NEE,Utilities,0.4625,0.4418,0.0207,4.6854,2.4,100.7,156.31,0.07068977327214188
18,2017-06-30,USD,1993000000.0,0.0,0,95000000.0,324000000.0,957000000.0,989000000.0,0.0,0.0,804000000.0,-1844000000.0,-6000000.0,-194000000.0,0.0,0.0,0,460000000.0,460000000.0,0,18000000.0,2082000000.0,0,18000000.0,0,42000000.0,0.0,793000000.0,NEE,Utilities,0.465,0.4397,0.0253,5.7539,2.6,93.4,145.99,0.11664372036102177
20,2021-12-31,USD,1063000000.0,2707000000.0,0,243000000.0,1012000000.0,1474000000.0,2626000000.0,130000000.0,302000000.0,664000000.0,-2735000000.0,1449000000.0,-830000000.0,0.0,0.0,0,774000000.0,774000000.0,0,0.0,2673000000.0,0,0.0,0,-223000000.0,0.0,746000000.0,DUK,Utilities,0.94,0.96,-0.02,-2.0833,4.9,67.2,390.58,0.09988454281771841
21,2021-09-30,USD,3354000000.0,126000000.0,0,823000000.0,361000000.0,1436000000.0,2453000000.0,252000000.0,-115000000.0,1276000000.0,-2586000000.0,-590000000.0,-1134000000.0,0.0,0.0,0,799000000.0,799000000.0,0,0.0,1752000000.0,0,0.0,0,1285000000.0,0.0,1405000000.0,DUK,Utilities,1.88,1.8016,0.0784,4.3517,4.8,71.7,355.11,-0.020034771090322034
22,2021-06-30,USD,1785000000.0,149000000.0,0,206000000.0,454000000.0,1368000000.0,2421000000.0,292000000.0,-62000000.0,698000000.0,-2477000000.0,565000000.0,-747000000.0,0.0,0.0,0,758000000.0,758000000.0,0,0.0,4019000000.0,0,0.0,0,873000000.0,0.0,765000000.0,DUK,Utilities,1.15,1.1079,0.0421,3.8,4.7,81.2,362.37,0.21352265496801848
23,2021-03-31,USD,2088000000.0,114000000.0,0,-657000000.0,-472000000.0,1385000000.0,2215000000.0,-377000000.0,-91000000.0,941000000.0,-3137000000.0,1185000000.0,2046000000.0,0.0,0.0,0,783000000.0,783000000.0,0,5000000.0,608000000.0,0,5000000.0,0,136000000.0,0.0,992000000.0,DUK,Utilities,1.26,1.2085,0.0515,4.2615,3.4,88.3,298.61,0.02883820286659322
24,2020-12-31,USD,2090000000.0,2696000000.0,0,482000000.0,360000000.0,1405000000.0,2499000000.0,114000000.0,-23000000.0,-150000000.0,-2640000000.0,506000000.0,1831000000.0,0.0,0.0,0,699000000.0,699000000.0,0,2670000000.0,168000000.0,0,2670000000.0,0,-44000000.0,0.0,-63000000.0,DUK,Utilities,1.03,1.027,0.003,0.2921,3.0,79.0,290.24,0.001345523546661953
25,2020-09-30,USD,3409000000.0,176000000.0,0,2000000.0,-64000000.0,1430000000.0,2305000000.0,223000000.0,-99000000.0,1234000000.0,-2493000000.0,-957000000.0,-840000000.0,0.0,0.0,0,722000000.0,722000000.0,0,18000000.0,2374000000.0,0,18000000.0,0,1473000000.0,0.0,1304000000.0,DUK,Utilities,1.87,1.7968,0.0732,4.0739,2.6,81.8,289.85,0.05503585338332173
26,2020-06-30,USD,1803000000.0,155000000.0,0,219000000.0,310000000.0,1350000000.0,2271000000.0,185000000.0,-36000000.0,-892000000.0,-2449000000.0,-411000000.0,69000000.0,0.0,0.0,0,684000000.0,684000000.0,0,17000000.0,1834000000.0,0,17000000.0,0,-832000000.0,0.0,-802000000.0,DUK,Utilities,1.08,1.0499,0.0301,2.8669,3.0,72.5,274.73,0.29895981087470447
27,2020-03-31,USD,1554000000.0,132000000.0,0,-1049000000.0,-218000000.0,1301000000.0,2832000000.0,-466000000.0,92000000.0,890000000.0,-3022000000.0,2593000000.0,-198000000.0,0.0,0.0,0,707000000.0,707000000.0,0,40000000.0,1954000000.0,0,40000000.0,0,1125000000.0,0.0,938000000.0,DUK,Utilities,1.14,1.1838,-0.0438,-3.6999,2.1,71.8,211.5,-0.10913609367760413
28,2019-12-31,USD,2572000000.0,2628000000.0,0,73000000.0,359000000.0,1345000000.0,3038000000.0,-16000000.0,119000000.0,607000000.0,-3324000000.0,743000000.0,581000000.0,0.0,0.0,0,678000000.0,678000000.0,0,343000000.0,960000000.0,-1000000,2305000000.0,0,607000000.0,0.0,674000000.0,DUK,Utilities,0.91,0.8715,0.0385,4.4177,2.5,99.8,237.41,0.15905873163110873
29,2019-09-30,USD,2581000000.0,415000000.0,0,201000000.0,406000000.0,1348000000.0,2619000000.0,242000000.0,-107000000.0,1323000000.0,-2845000000.0,365000000.0,-1262000000.0,0.0,0.0,0,678000000.0,678000000.0,0,14000000.0,1509000000.0,990000000,14000000.0,0,1323000000.0,0.0,1342000000.0,DUK,Utilities,1.79,1.6695,0.1205,7.2177,2.5,95.5,204.83,0.04874302391070606
30,2019-06-30,USD,1817000000.0,357000000.0,0,-14000000.0,-2000000.0,1245000000.0,2929000000.0,84000000.0,79000000.0,748000000.0,-3075000000.0,1189000000.0,687000000.0,0.0,0.0,0,663000000.0,663000000.0,0,14000000.0,1885000000.0,-1000000,14000000.0,0,748000000.0,0.0,832000000.0,DUK,Utilities,1.12,0.9831,0.1369,13.9253,2.6,98.4,195.31,0.07852449058479216
31,2019-03-31,USD,1239000000.0,152000000.0,0,-703000000.0,-199000000.0,1238000000.0,2536000000.0,-388000000.0,31000000.0,893000000.0,-2713000000.0,1433000000.0,-304000000.0,0.0,0.0,0,649000000.0,649000000.0,0,13000000.0,2737000000.0,974000000,13000000.0,0,-41000000.0,0.0,900000000.0,DUK,Utilities,1.24,1.2482,-0.0082,-0.6569,2.5,97.2,181.09,0.29313053413310497
32,2018-12-31,USD,1519000000.0,2244000000.0,0,-25000000.0,428000000.0,1249000000.0,2637000000.0,57000000.0,-52000000.0,454000000.0,-2790000000.0,1413000000.0,343000000.0,0.0,0.0,0,636000000.0,636000000.0,0,0.0,1189000000.0,0,1004000000.0,0,454000000.0,0.0,464000000.0,DUK,Utilities,0.84,0.8928,-0.0528,-5.914,2.7,91.2,140.04,-0.16244019138755983
33,2018-09-30,USD,2365000000.0,144000000.0,0,646000000.0,700000000.0,1197000000.0,2377000000.0,261000000.0,-34000000.0,1066000000.0,-2625000000.0,282000000.0,-452000000.0,0.0,0.0,0,636000000.0,636000000.0,0,0.0,1383000000.0,0,14000000.0,0,1066000000.0,0.0,1082000000.0,DUK,Utilities,1.65,1.5118,0.1382,9.1414,2.9,98.6,167.2,-0.019699812382739323
34,2018-06-30,USD,1911000000.0,123000000.0,0,281000000.0,175000000.0,1161000000.0,2288000000.0,91000000.0,31000000.0,502000000.0,-2381000000.0,318000000.0,384000000.0,0.0,0.0,0,600000000.0,600000000.0,0,0.0,1487000000.0,0,799000000.0,0,502000000.0,0.0,500000000.0,DUK,Utilities,0.93,1.0095,-0.0795,-7.8752,2.9,97.9,170.56,0.05740855548667079
35,2018-03-31,USD,1391000000.0,263000000.0,0,-439000000.0,-106000000.0,1089000000.0,2087000000.0,-64000000.0,-101000000.0,622000000.0,-2264000000.0,947000000.0,706000000.0,0.0,0.0,0,599000000.0,599000000.0,0,0.0,1240000000.0,0,21000000.0,0,74000000.0,0.0,620000000.0,DUK,Utilities,1.28,1.1432,0.1368,11.9664,2.7,98.8,161.3,0.09274439401124579
36,2017-12-31,USD,1646000000.0,2202000000.0,0,208000000.0,421000000.0,1056000000.0,2211000000.0,163000000.0,-20000000.0,703000000.0,-2111000000.0,543000000.0,238000000.0,0.0,0.0,0,625000000.0,625000000.0,0,0.0,1199000000.0,0,0.0,0,76000000.0,0.0,703000000.0,DUK,Utilities,0.94,0.9196,0.0204,2.2184,2.7,95.7,147.61,0.06034049278069098
37,2017-09-30,USD,2178000000.0,156000000.0,0,143000000.0,177000000.0,1037000000.0,1910000000.0,213000000.0,-95000000.0,955000000.0,-1987000000.0,-235000000.0,-1430000000.0,0.0,0.0,0,625000000.0,625000000.0,0,0.0,2976000000.0,0,0.0,0,-16000000.0,0.0,954000000.0,DUK,Utilities,1.59,1.5505,0.0395,2.5476,2.4,100.7,139.21,0.14406640368178825
38,2017-06-30,USD,1554000000.0,138000000.0,0,23000000.0,113000000.0,962000000.0,1771000000.0,50000000.0,2000000.0,689000000.0,-1983000000.0,-122000000.0,-262000000.0,0.0,0.0,0,600000000.0,600000000.0,0,0.0,1171000000.0,0,0.0,0,-580000000.0,0.0,686000000.0,DUK,Utilities,1.01,1.0145,-0.0045,-0.4436,2.6,93.4,121.68,0.08604069975008932
40,2021-12-31,USD,1088000000.0,733000000.0,0,359000000.0,132000000.0,32000000.0,2018000000.0,83000000.0,-80000000.0,-283000000.0,-1503000000.0,143000000.0,733000000.0,0.0,0.0,0,700000000.0,700000000.0,0,11000000.0,1469000000.0,0,84000000.0,0,16000000.0,0.0,16000000.0,SO,Utilities,0.36,0.35,0.01,2.8571,4.9,67.2,151.62,0.0929930795847751
41,2021-09-30,USD,2177000000.0,646000000.0,0,176000000.0,235000000.0,11000000.0,1838000000.0,27000000.0,-294000000.0,1110000000.0,-1824000000.0,131000000.0,-695000000.0,0.0,0.0,0,700000000.0,700000000.0,0,38000000.0,2147000000.0,0,38000000.0,0,1110000000.0,0.0,1101000000.0,SO,Utilities,1.23,1.2211,0.0089,0.7289,4.8,71.7,138.72,0.05226427975422876
42,2021-06-30,USD,1662000000.0,484000000.0,0,247000000.0,287000000.0,10000000.0,1706000000.0,279000000.0,-13000000.0,376000000.0,-1783000000.0,-63000000.0,310000000.0,0.0,0.0,0,699000000.0,699000000.0,0,10000000.0,2496000000.0,0,10000000.0,0,376000000.0,0.0,372000000.0,SO,Utilities,0.84,0.7932,0.0468,5.9002,4.7,81.2,131.83,0.21379246846515065
43,2021-03-31,USD,1242000000.0,628000000.0,0,-839000000.0,-273000000.0,11000000.0,1678000000.0,-308000000.0,-216000000.0,1107000000.0,-2243000000.0,1734000000.0,482000000.0,0.0,0.0,0,678000000.0,678000000.0,0,14000000.0,2150000000.0,0,14000000.0,0,733000000.0,0.0,1136000000.0,SO,Utilities,0.98,0.8337,0.1463,17.5483,3.4,88.3,108.61,-0.14648330058939096
44,2020-12-31,USD,1476000000.0,785000000.0,0,706000000.0,405000000.0,38000000.0,2076000000.0,347000000.0,-45000000.0,357000000.0,-2138000000.0,-1653000000.0,438000000.0,0.0,0.0,0,677000000.0,677000000.0,0,11000000.0,504000000.0,0,85000000.0,0,-2315000000.0,0.0,402000000.0,SO,Utilities,0.47,0.4188,0.0512,12.2254,3.0,79.0,127.25,0.21006085964244958
45,2020-09-30,USD,2373000000.0,616000000.0,0,115000000.0,72000000.0,12000000.0,2163000000.0,167000000.0,-323000000.0,1283000000.0,-2237000000.0,1362000000.0,-1014000000.0,0.0,0.0,0,676000000.0,676000000.0,0,4000000.0,3250000000.0,0,4000000.0,0,1283000000.0,0.0,1251000000.0,SO,Utilities,1.22,1.2083,0.0117,0.9683,2.6,81.8,105.16,0.2628797886393659
46,2020-06-30,USD,1953000000.0,469000000.0,0,308000000.0,203000000.0,13000000.0,1642000000.0,25000000.0,-64000000.0,621000000.0,-1766000000.0,-470000000.0,-525000000.0,0.0,0.0,0,677000000.0,677000000.0,0,7000000.0,1640000000.0,0,7000000.0,0,621000000.0,0.0,612000000.0,SO,Utilities,0.78,0.6723,0.1077,16.0196,3.0,72.5,83.27,0.2152656158785755
47,2020-03-31,USD,894000000.0,576000000.0,0,-1080000000.0,-140000000.0,12000000.0,1560000000.0,-317000000.0,246000000.0,841000000.0,-889000000.0,185000000.0,-220000000.0,0.0,0.0,0,655000000.0,655000000.0,0,52000000.0,2653000000.0,0,52000000.0,0,190000000.0,0.0,868000000.0,SO,Utilities,0.78,0.7131,0.0669,9.3816,2.1,71.8,68.52,-0.24653617769958214
48,2019-12-31,USD,900000000.0,1691000000.0,0,859000000.0,-41000000.0,23000000.0,2397000000.0,-42000000.0,-125000000.0,409000000.0,-2319000000.0,462000000.0,-727000000.0,0.0,0.0,0,651000000.0,651000000.0,0,221000000.0,2460000000.0,0,1065000000.0,0,690000000.0,0.0,440000000.0,SO,Utilities,0.27,0.2686,0.0014,0.5212,2.5,99.8,90.94,0.1320801693016307
49,2019-09-30,USD,2368000000.0,770000000.0,0,-8000000.0,43000000.0,21000000.0,1933000000.0,65000000.0,-206000000.0,1345000000.0,-2075000000.0,1256000000.0,-856000000.0,0.0,0.0,0,650000000.0,650000000.0,0,171000000.0,1925000000.0,0,171000000.0,0,1345000000.0,0.0,1316000000.0,SO,Utilities,1.34,1.1437,0.1963,17.1636,2.5,95.5,80.33,0.07479261439657492
