Sector;Ticker;Company
Commercial Services;SPGI;S&P Global Inc.
Commercial Services;MCO;Moody’s Corporation
Commercial Services;CPRT;Copart, Inc.
Commercial Services;EFX;Equifax, Inc.
Commercial Services;FLT;FleetCor Technologies, Inc.
Commercial Services;CRL;Charles River Laboratories International, Inc.
Commercial Services;OMC;Omnicom Group Inc.
Commercial Services;IPG;Interpublic Group of Companies, Inc. (The)
Commercial Services;RHI;Robert Half International Inc.
Commercial Services;NLSN;Nielsen N.V.
Communications;VZ;Verizon Communications Inc.
Communications;T;AT&T Inc.
Communications;TMUS;T-Mobile US, Inc.
Communications;LUMN;Lumen Technologies, Inc.
Consumer Durables;TSLA;Tesla, Inc.
Consumer Durables;GM;General Motors Company
Consumer Durables;F;Ford Motor Company
Consumer Durables;ATVI;Activision Blizzard, Inc
Consumer Durables;EA;Electronic Arts Inc.
Consumer Durables;DHI;D.R. Horton, Inc.
Consumer Durables;SWK;Stanley Black & Decker, Inc.
Consumer Durables;TTWO;Take-Two Interactive Software, Inc.
Consumer Durables;NVR;NVR, Inc.
Consumer Durables;LKQ;LKQ Corporation
Consumer Durables;PHM;PulteGroup, Inc.
Consumer Durables;WHR;Whirlpool Corporation
Consumer Durables;HAS;Hasbro, Inc.
Consumer Durables;MHK;Mohawk Industries, Inc.
Consumer Durables;SNA;Snap-On Incorporated
Consumer Non-Durables;PG;Procter & Gamble Company (The)
Consumer Non-Durables;NKE;Nike, Inc.
Consumer Non-Durables;KO;Coca-Cola Company (The)
Consumer Non-Durables;PEP;PepsiCo, Inc.
Consumer Non-Durables;PM;Philip Morris International Inc
Consumer Non-Durables;EL;Estee Lauder Companies, Inc. (The)
Consumer Non-Durables;MDLZ;Mondelez International, Inc.
Consumer Non-Durables;MO;Altria Group, Inc.
Consumer Non-Durables;CL;Colgate-Palmolive Company
Consumer Non-Durables;MNST;Monster Beverage Corporation
Consumer Non-Durables;KMB;Kimberly-Clark Corporation
Consumer Non-Durables;STZ;Constellation Brands, Inc.
Consumer Non-Durables;KHC;The Kraft Heinz Company
Consumer Non-Durables;GIS;General Mills, Inc.
Consumer Non-Durables;HSY;The Hershey Company
Consumer Non-Durables;IFF;International Flavors & Fragrances, Inc.
Consumer Non-Durables;TSN;Tyson Foods, Inc.
Consumer Non-Durables;VFC;V.F. Corporation
Consumer Non-Durables;HRL;Hormel Foods Corporation
Consumer Non-Durables;MKC;McCormick & Company, Incorporated
Consumer Non-Durables;CHD;Church & Dwight Company, Inc.
Consumer Non-Durables;K;Kellogg Company
Consumer Non-Durables;CLX;Clorox Company (The)
Consumer Non-Durables;CAG;ConAgra Brands, Inc.
Consumer Non-Durables;SJM;J.M. Smucker Company (The) New
Consumer Non-Durables;CPB;Campbell Soup Company
Consumer Non-Durables;TAP;Molson Coors Beverage Company
Consumer Non-Durables;LW;Lamb Weston Holdings, Inc.
Consumer Non-Durables;UAA;Under Armour, Inc.
Consumer Non-Durables;UA;Under Armour, Inc.
Consumer Non-Durables;PVH;PVH Corp.
Consumer Services;DIS;Walt Disney Company (The)
Consumer Services;CMCSA;Comcast Corporation
Consumer Services;MCD;McDonald’s Corporation
Consumer Services;SBUX;Starbucks Corporation
Consumer Services;CHTR;Charter Communications, Inc.
Consumer Services;BKNG;Booking Holdings Inc. Common Stock
Consumer Services;MAR;Marriott International
Consumer Services;CMG;Chipotle Mexican Grill, Inc.
Consumer Services;CTAS;Cintas Corporation
Consumer Services;HLT;Hilton Worldwide Holdings Inc.
Consumer Services;YUM;Yum! Brands, Inc.
Consumer Services;LVS;Las Vegas Sands Corp.
Consumer Services;EXPE;Expedia Group, Inc.
Consumer Services;LYV;Live Nation Entertainment, Inc.
Consumer Services;MGM;MGM Resorts International
Consumer Services;VIAC;ViacomCBS Inc.
Consumer Services;FOX;Fox Corporation
Consumer Services;FOXA;Fox Corporation
Consumer Services;RCL;D/B/A Royal Caribbean Cruises Ltd.
Consumer Services;DPZ;Domino’s Pizza Inc
Consumer Services;CZR;Caesars Entertainment, Inc.
Consumer Services;DRI;Darden Restaurants, Inc.
Consumer Services;DISH;DISH Network Corporation
Consumer Services;ROL;Rollins, Inc.
Consumer Services;NWSA;News Corporation
Consumer Services;NWS;News Corporation
Consumer Services;DISCA;Discovery, Inc. – Series A
Consumer Services;DISCK;Discovery, Inc. – Series C
Consumer Services;WYNN;Wynn Resorts, Limited
Consumer Services;NCLH;Norwegian Cruise Line Holdings Ltd.
Consumer Services;PENN;Penn National Gaming, Inc.
Distribution Services;SYY;Sysco Corporation
Distribution Services;MCK;McKesson Corporation
Distribution Services;FAST;Fastenal Company
Distribution Services;ABC;AmerisourceBergen Corporation
Distribution Services;GWW;W.W. Grainger, Inc.
Distribution Services;POOL;Pool Corporation
Distribution Services;GPC;Genuine Parts Company
Distribution Services;CAH;Cardinal Health, Inc.
Distribution Services;HSIC;Henry Schein, Inc.
Electronic Technology;AAPL;Apple Inc.
Electronic Technology;NVDA;NVIDIA Corporation
Electronic Technology;AVGO;Broadcom Inc.
Electronic Technology;INTC;Intel Corporation
Electronic Technology;QCOM;QUALCOMM Incorporated
Electronic Technology;AMD;Advanced Micro Devices, Inc.
Electronic Technology;TXN;Texas Instruments Incorporated
Electronic Technology;RTX;Raytheon Technologies Corporation
Electronic Technology;BA;Boeing Company (The)
Electronic Technology;MU;Micron Technology, Inc.
Electronic Technology;LRCX;Lam Research Corporation
Electronic Technology;LMT;Lockheed Martin Corporation
Electronic Technology;ADI;Analog Devices, Inc.
Electronic Technology;KLAC;KLA Corporation
Electronic Technology;NXPI;NXP Semiconductors N.V.
Electronic Technology;NOC;Northrop Grumman Corporation
Electronic Technology;GD;General Dynamics Corporation
Electronic Technology;FTNT;Fortinet, Inc.
Electronic Technology;TEL;TE Connectivity Ltd. New Switzerland Registered Shares
Electronic Technology;APH;Amphenol Corporation
Electronic Technology;MCHP;Microchip Technology Incorporated
Electronic Technology;MSI;Motorola Solutions, Inc.
Electronic Technology;ANET;Arista Networks, Inc.
Electronic Technology;LHX;L3Harris Technologies, Inc.
Electronic Technology;HPQ;HP Inc.
Electronic Technology;KEYS;Keysight Technologies Inc.
Electronic Technology;TDG;Transdigm Group Inc.
Electronic Technology;GLW;Corning Incorporated
Electronic Technology;ZBRA;Zebra Technologies Corporation
Electronic Technology;TER;Teradyne, Inc.
Electronic Technology;SWKS;Skyworks Solutions, Inc.
Electronic Technology;FTV;Fortive Corporation
Electronic Technology;GRMN;Garmin Ltd.
Electronic Technology;STX;Seagate Technology Holdings PLC
